"A1","A2","A3","B1","B2","B3"
"gene-GALLO_RS00205",9767.22243237853,8042.27731534981,10121.4021516219,10186.6564457027,9075.16703004949,11561.4731211803
"gene-GALLO_RS00210",3292.03138904014,2642.48900046147,2771.06120551445,3456.92189822273,2721.02848124573,2443.47761334508
"gene-GALLO_RS00215",1426.04124686532,1217.54486181038,1310.42887446323,1502.11487244202,1288.9082279585,1171.83223472889
"gene-GALLO_RS00220",1118.1662592755,1096.25332044372,1294.06054906582,1058.08668376053,986.372824451577,994.24261508524
"gene-GALLO_RS00225",251.654337682115,242.583082733324,263.81889169943,192.773213622696,199.601760301907,202.21883696649
"gene-GALLO_RS00230",248.084772608609,265.730323452152,250.339094313328,267.499908791045,268.522547491355,246.292173228417
"gene-GALLO_RS00235",3641.84876624365,4176.68811530543,3588.51463271451,3728.75378934238,5795.61165002174,4150.67125619679
"gene-GALLO_RS00240",1343.9412501747,1804.55888643988,1520.32857661825,1160.97126406478,2498.1547668279,1778.48874562836
"gene-GALLO_RS00245",864.727139056628,1354.57652686585,1065.86683617252,907.550297841682,1944.99831899571,1345.53303058472
"gene-GALLO_RS00250",406.038027111213,592.569362402012,475.644279195323,419.119290292042,1021.28075562545,694.803183423323
"gene-GALLO_RS00255",703.204319480519,1093.47565155746,906.997795550596,604.311534839688,1577.12242893256,1035.72340215529
"gene-GALLO_RS00260",1721.42275669787,3158.20952367697,2507.24231381502,1703.55205072192,4751.05894028037,2991.80176742729
"gene-GALLO_RS00265",1307.35320817127,4008.17620287236,1560.76796877656,1322.33760580512,3970.55340223883,1707.19364285171
"gene-GALLO_RS00270",268.609771781264,734.230475601243,405.356764253504,200.354182697746,644.454113979252,401.845124741101
"gene-GALLO_RS00275",346.247812130002,748.11882003254,419.799404310043,324.898674644993,853.006625864204,445.918461003028
"gene-GALLO_RS00280",1328.7705986123,2357.31499480551,1433.67273627902,1385.15134956982,3153.34978270681,1895.15345926287
"gene-GALLO_RS00285",1518.84993877645,1416.61113199231,1250.7326288962,1698.13707281117,1939.62786804589,1717.56383961922
"gene-GALLO_RS00290",5213.3497898543,7166.38572654934,6119.82801329044,5325.08927743144,8258.85848567577,6657.66632474289
"gene-GALLO_RS00295",156.168471965851,152.771788744269,125.169547156664,167.864315233247,159.323378178204,163.330599088319
"gene-GALLO_RS00305",1557.22276331663,1049.95883900607,1104.38054298995,1841.09248965496,1170.75830706231,1110.90732871975
"gene-GALLO_RS00310",476.53693731294,399.058429992605,466.015852490965,354.139555363043,364.295589429938,414.807870700491
"gene-GALLO_RS00315",6262.80192146482,6170.12848601095,5618.18698199334,6732.98353422642,6758.7125203574,6044.52844086372
"gene-GALLO_RS00320",7548.73773919506,12215.2618721402,7825.02238263237,7491.0804417314,12197.1891822156,8036.90249482202
"gene-GALLO_RS00325",680.894537771111,1040.69994271853,798.196573791342,648.714353707837,1372.15021768082,922.947512308593
"gene-GALLO_RS00330",135.643472793197,204.621607954445,149.240613917561,151.619381500997,253.306269800178,137.405107169538
"gene-GALLO_RS00335",670.185842550596,724.971579313712,563.262962204988,637.884397886337,631.923061762988,497.76944484059
"gene-GALLO_RS00340",304.305422516316,364.800513728739,297.518385164686,266.416913208895,328.492583097757,274.810214339076
"gene-GALLO_RS00345",1059.26843556266,1103.66043747375,988.839422537646,1179.38218896133,1059.76898743255,801.097700290324
